No,Input,Output,Ven
89,2438.5806964259746,2399.6251649746746,NO
90,2289.258935758738,2601.9090179961354,NO
91,1791.420158913451,2269.8440579331022,NO
92,2286.935252315235,2393.662730431522,NO
93,2497.436324723633,2029.8252921093267,NO
94,2552.0792043989118,2400.37565637149,NO
95,1277.889645021233,2264.6644678500734,NO
96,1868.2683730764224,2089.3273528935947,NO
97,2072.765717721095,2544.7839014670103,NO
98,1698.5048010119,1457.4418810957693,NO
99,2166.5988748188965,2093.743204229703,NO
100,2137.4622154953345,1790.7952417894155,NO
101,1855.2102997111747,2179.375687264399,NO
102,2402.749145266321,1602.5816661622036,NO
103,2125.7221803968373,2327.8272328236385,NO
104,2581.766884853467,2438.7961333537655,NO
105,1277.889645021233,2639.593567624277,NO
106,2099.946830232594,2349.306962061467,NO
109,1888.4621810425301,1612.122426979249,NO
110,2317.1465766157153,2598.987846420816,NO
111,2060.57545780693,1596.9104714632736,NO
113,2037.9426375139208,1574.9458518168067,NO
114,1864.9146267304081,2008.988039651163,NO
115,2367.557273765421,2302.8994871609066,NO
116,2090.5763435927142,2366.135646132199,NO
117,1837.6773442448039,2065.5794866989627,NO
118,2194.24975528942,1640.099271906045,NO
119,2139.0977648338076,2680.415237020305,NO
120,2348.105882663198,2417.3969543869066,NO
121,2559.035814810808,1931.9971821269176,NO
123,2260.0784564162973,1841.8317345669343,NO
124,2756.828371634044,2542.0245781885737,NO
125,2148.8561343899228,2534.2265796807783,NO
126,2637.579736578019,2515.4054902207313,NO
127,2221.2073977417576,2044.8616283463293,NO
128,2496.881866308824,2339.4519365534816,NO
129,1589.967514963726,1927.2433176716736,NO
131,2502.407738332888,1928.6765440416464,NO
132,2486.2250484961537,1863.773787084551,NO
133,2304.858518739219,2518.8340430185267,NO
134,2568.8679295857114,2523.176279331885,NO
135,1881.7031282029145,1705.9863612167844,NO
136,1553.3800302934055,2004.5097428689721,NO
137,1902.8877563372475,2430.5454692213953,NO
138,2366.8584957730295,1755.6870408114714,NO
139,2972.4397214795213,2143.0408761586286,NO
140,2643.102738338165,2335.3816778595406,NO
141,1500.700487449593,2567.6824508631557,NO
142,2217.015068935433,2411.5277263354687,NO
143,2690.3712029559674,2532.2988351917857,NO
144,2393.500272298986,2486.6451963623254,NO
145,1985.9332976364155,1929.330956497246,NO
146,2369.7101693434975,2286.6947083378227,NO
147,1999.1937876591257,1841.267669077925,NO
149,1730.5118679780921,2424.9496967623663,NO
150,2527.4025139833016,2489.014172644866,NO
151,2167.546307313139,2526.167717125841,NO
152,2167.3981658989633,2061.7080397300383,NO
153,1714.3305312834611,2539.872121136803,NO
154,2283.2154233700066,1756.1076362334124,NO
155,1921.2531854279612,2508.1985011990987,NO
156,2339.843694539805,2792.3480540124906,NO
157,2187.5955823542968,2875.5897561723023,NO
158,2649.9343009485624,2056.6388160422844,NO
159,1446.937985440784,2333.9063140307403,NO
160,1806.7161978792162,2289.8227386767007,NO
161,1914.1940964162343,2168.5071934870466,NO
162,1591.7170081249924,1662.6488285555206,NO
163,1758.9928178491773,1959.656301263879,NO
164,2270.375378097944,1715.7599078909661,NO
165,1604.7405517584834,2250.342451806562,NO
166,1985.6554669918573,2577.106703950179,NO
167,2053.7896962911395,2405.7750853573975,NO
168,1905.379035173712,2233.109064099477,NO
169,2101.345634020707,2114.7071309951093,NO
170,2450.8619262710913,1993.7583110994472,NO
171,1738.4849307989218,2354.2392952244677,NO
172,2400.0005750635605,1723.1156712804,NO
173,1822.6560054137417,2506.248180907572,NO
174,2571.5945046287666,2320.9754541139987,NO
176,1680.088260573554,2569.651745356875,NO
177,2231.0224740411036,1501.8201830740072,NO
178,1597.9511721694575,1972.9171027322832,NO
179,2007.4620970344895,2209.5970678939448,NO
180,2187.2410666498818,1812.660793633618,NO
181,1276.7370574145345,2439.7863602421494,NO
182,1940.8013665950418,1771.714366845601,NO
183,2221.399998663377,1762.7300734687706,NO
184,1729.0427371444634,1680.3564398758244,NO
185,2397.6617699721496,2019.5821850277357,NO
186,2766.1193419054744,2011.3155132771435,NO
